Protein,Prediction
1027_Hemolytik_Free_Free_Poor,1
1047_Hemolytik_Amidation_Free_0%,0
1049_Hemolytik_Amidation_Free_0%,0
1050_Hemolytik_Amidation_Free_0%,0
1226_Hemolytik_Amidation_Free_0%,0
1227_Hemolytik_Amidation_Free_0%,0
1248_Hemolytik_Free_Free_Little,0
1274_Hemolytik_Free_Free_0%,1
1290_Hemolytik_Free_Free_0%,0
1291_Hemolytik_Free_Free_0%,0
1364_Hemolytik_Free_Free_0%,0
1368_Hemolytik_Free_Free_0%,0
1468_Hemolytik_Amidation_Free_0,0
1494_Hemolytik_Free_Free_0%,0
1540_Hemolytik_Free_Free_0%,1
1542_Hemolytik_Free_Free_0%,1
1543_Hemolytik_Free_Free_0%,1
1544_Hemolytik_Free_Free_0%,1
1545_Hemolytik_Free_Free_0%,1
1546_Hemolytik_Free_Free_0%,1
1547_Hemolytik_Free_Free_0%,1
1548_Hemolytik_Free_Free_0%,1
1866_Hemolytik_Amidation_Free_0%,0
1868_Hemolytik_Amidation_Free_0,0
1872_Hemolytik_Free_Free_0%,0
1873_Hemolytik_Free_Free_0%,0
1874_Hemolytik_Free_Free_0%,1
1875_Hemolytik_Free_Free_0%,0
1876_Hemolytik_Free_Free_0%,0
1877_Hemolytik_Free_Free_0%,0
1878_Hemolytik_Free_Free_No,0
1879_Hemolytik_Free_Free_No,0
1883_Hemolytik_Amidation_Free_No,1
1884_Hemolytik_Amidation_Free_No,1
1885_Hemolytik_Free_Free_No,0
1886_Hemolytik_Free_Free_No,0
1887_Hemolytik_Free_Free_No,1
1888_Hemolytik_Free_Free_No,0
1889_Hemolytik_Free_Free_No,0
1890_Hemolytik_Amidation_Acetylation_0,0
1891_Hemolytik_Amidation_Acetylation_0,0
1892_Hemolytik_Free_Free_No,1
1893_Hemolytik_Free_Free_No,0
1898_Hemolytik_Amidation_Free_0%,0
1899_Hemolytik_Amidation_Free_0%,0
1900_Hemolytik_Amidation_Free_0%,0
1901_Hemolytik_Amidation_Free_0%,0
1902_Hemolytik_Amidation_Free_0%,0
1903_Hemolytik_Free_Free_0,0
1904_Hemolytik_Free_Free_0,0
1905_Hemolytik_Amidation_Free_0,0
1909_Hemolytik_Free_Free_0%,0
1910_Hemolytik_Free_Free_0,1
1912_Hemolytik_Free_Free_0,0
1913_Hemolytik_Free_Free_0,1
1914_Hemolytik_Free_Free_0,0
1915_Hemolytik_Amidation_Free_No,1
1916_Hemolytik_Amidation_Free_No,1
1925_Hemolytik_Free_Free_0%,0
1926_Hemolytik_Free_Free_0%,0
1927_Hemolytik_Free_Free_0%,0
1928_Hemolytik_Free_Free_0%,0
1929_Hemolytik_Free_Free_0%,0
1930_Hemolytik_Free_Free_0%,0
1931_Hemolytik_Free_Free_0%,0
1932_Hemolytik_Free_Free_0%,0
1933_Hemolytik_Free_Free_0%,0
1934_Hemolytik_Free_Free_0%,0
1935_Hemolytik_Free_Free_0%,0
1936_Hemolytik_Free_Free_0%,0
1937_Hemolytik_Free_Free_0%,0
1938_Hemolytik_Free_Free_0%,0
2000_Hemolytik_Amidation_Free_0,0
2001_Hemolytik_Amidation_Free_0,0
2002_Hemolytik_Amidation_Free_0,0
2003_Hemolytik_Amidation_Free_0,0
2023_Hemolytik_Amidation_Free_0%,0
2024_Hemolytik_Amidation_Free_0%,0
2025_Hemolytik_Amidation_Free_0%,0
2026_Hemolytik_Amidation_Free_0%,0
2055_Hemolytik_Amidation_Free_0,0
2057_Hemolytik_Amidation_Free_0,0
2058_Hemolytik_Amidation_Free_0,0
2059_Hemolytik_Free_Free_0,0
2060_Hemolytik_Amidation_Free_0,0
2062_Hemolytik_Amidation_Free_0,0
2063_Hemolytik_Amidation_Free_0,0
2064_Hemolytik_Amidation_Free_0,0
2065_Hemolytik_Amidation_Free_0,0
2066_Hemolytik_Free_Free_0,0
2067_Hemolytik_Free_Free_0,0
2068_Hemolytik_Free_Free_0%,0
2073_Hemolytik_Free_Free_Very,0
2083_Hemolytik_Amidation_Free_0%,0
2094_Hemolytik_Free_Free_0,0
2110_Hemolytik_Free_Free_0%,1
2131_Hemolytik_Free_Free_0%,0
2132_Hemolytik_Free_Free_0%,0
2155_Hemolytik_Amidation_Free_0%,0
2162_Hemolytik_Amidation_Free_0%,0
2169_Hemolytik_Amidation_Free_0%,0
2170_Hemolytik_Amidation_Free_0%,0
2172_Hemolytik_Amidation_Free_0%,0
2173_Hemolytik_Amidation_Free_0%,0
2195_Hemolytik_Free_Free_~0%,1
2197_Hemolytik_Free_Free_~0%,1
2210_Hemolytik_Free_Free_0%,0
2211_Hemolytik_Free_Free_0%,0
2213_Hemolytik_Free_Free_0%,0
2214_Hemolytik_Free_Free_0%,0
2215_Hemolytik_Free_Free_0%,0
2216_Hemolytik_Free_Free_0%,0
2217_Hemolytik_Free_Free_0%,0
2218_Hemolytik_Free_Free_0%,0
2219_Hemolytik_Free_Free_0%,0
2283_Hemolytik_Free_Free_0%,0
2315_Hemolytik_Free_Free_0%,0
2316_Hemolytik_Free_Free_0%,0
2317_Hemolytik_Amidation_Free_0%,0
2318_Hemolytik_Amidation_Free_0%,0
2319_Hemolytik_Amidation_Free_0%,0
2320_Hemolytik_Amidation_Free_0%,0
2321_Hemolytik_Amidation_Free_0%,0
2322_Hemolytik_Amidation_Free_0%,0
2380_Hemolytik_Free_Free_0%,0
2381_Hemolytik_Free_Free_0%,0
2382_Hemolytik_Free_Free_0%,0
2383_Hemolytik_Free_Free_0%,0
2384_Hemolytik_Free_Free_0%,1
2385_Hemolytik_Free_Free_0%,0
2386_Hemolytik_Free_Free_0%,0
2387_Hemolytik_Amidation_Acetylation_0%,0
2388_Hemolytik_Amidation_Acetylation_0%,1
2389_Hemolytik_Free_Free_0%,0
2394_Hemolytik_Amidation_Free_0%,0
2396_Hemolytik_Amidation_Free_0%,0
2400_Hemolytik_Amidation_Free_0%,0
2471_Hemolytik_Free_Free_0%,0
2485_Hemolytik_Free_Free_0,0
2501_Hemolytik_Amidation_Free_0%,0
2515_Hemolytik_Free_Free_0%,0
2516_Hemolytik_Free_Free_0%,0
2517_Hemolytik_Free_Free_0%,0
2518_Hemolytik_Free_Free_0%,0
2546_Hemolytik_Amidation_Free_0%,0
2547_Hemolytik_Amidation_Free_0%,0
2607_Hemolytik_Free_Free_0%,1
2611_Hemolytik_Free_Free_0%,0
2620_Hemolytik_Free_Free_0,1
2633_Hemolytik_Free_Free_0%,1
2709_Hemolytik_Free_Free_0,1
2764_Hemolytik_Amidation_Free_0%,0
2765_Hemolytik_Amidation_Free_0%,0
2766_Hemolytik_Amidation_Free_0%,0
2787_Hemolytik_Amidation_Free_0%,0
2788_Hemolytik_Amidation_Free_0%,0
2789_Hemolytik_Amidation_Free_0%,0
2790_Hemolytik_Amidation_Free_0%,0
2964_Hemolytik_Amidation_Free_0,0
2965_Hemolytik_Amidation_Free_0,0
2989_Hemolytik_Free_Free_0,0
2999_Hemolytik_Free_Free_0%,0
3000_Hemolytik_Free_Free_0%,0
3001_Hemolytik_Free_Free_0%,0
3020_Hemolytik_Free_Free_0,0
3021_Hemolytik_Free_Free_0,0
3022_Hemolytik_Free_Free_0,0
3023_Hemolytik_Free_Free_0,0
3024_Hemolytik_Free_Free_0,0
3025_Hemolytik_Free_Free_0,0
3067_Hemolytik_Free_Free_No,0
3068_Hemolytik_Amidation_Free_No,0
3074_Hemolytik_Free_Free_Low,0
3094_Hemolytik_Amidation_Free_Negligible,0
3096_Hemolytik_Amidation_Free_Negligible,0
3100_Hemolytik_Amidation_Free_Negligible,0
3116_Hemolytik_Free_Free_No,1
3167_Hemolytik_Amidation_Free_0,0
3237_Hemolytik_Free_Free_No,0
3246_Hemolytik_Amidation_Free_No,0
3247_Hemolytik_Free_Free_No,0
3248_Hemolytik_Free_Free_No,0
3249_Hemolytik_Free_Free_No,0
3250_Hemolytik_Free_Free_No,0
3251_Hemolytik_Free_Free_No,0
3257_Hemolytik_Free_Free_0,0
3274_Hemolytik_Free_Free_0,0
3275_Hemolytik_Free_Free_0,0
3278_Hemolytik_Free_Free_0,0
3292_Hemolytik_Free_Free_0%,0
3293_Hemolytik_Free_Free_0%,0
3310_Hemolytik_Free_Free_0%,0
3350_Hemolytik_Free_Formylation_0%,0
3351_Hemolytik_Free_Formylation_0%,0
3352_Hemolytik_Free_Formylation_0%,0
3353_Hemolytik_Free_Formylation_0%,0
3354_Hemolytik_Free_Formylation_0%,0
3358_Hemolytik_Free_Formylation_0%,1
3359_Hemolytik_Free_Formylation_0%,1
3381_Hemolytik_Amidation_Free_0,1
3383_Hemolytik_Amidation_Free_0,1
3434_Hemolytik_Free_Free_0%,0
