"Protein","Prediction"
"1027_Hemolytik_Free_Free_Poor","hemolytic"
"1047_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1049_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1050_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1226_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1227_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1248_Hemolytik_Free_Free_Little","non-hemolytic"
"1274_Hemolytik_Free_Free_0%","hemolytic"
"1290_Hemolytik_Free_Free_0%","non-hemolytic"
"1291_Hemolytik_Free_Free_0%","non-hemolytic"
"1364_Hemolytik_Free_Free_0%","non-hemolytic"
"1368_Hemolytik_Free_Free_0%","non-hemolytic"
"1468_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"1494_Hemolytik_Free_Free_0%","non-hemolytic"
"1540_Hemolytik_Free_Free_0%","hemolytic"
"1542_Hemolytik_Free_Free_0%","hemolytic"
"1543_Hemolytik_Free_Free_0%","hemolytic"
"1544_Hemolytik_Free_Free_0%","hemolytic"
"1545_Hemolytik_Free_Free_0%","hemolytic"
"1546_Hemolytik_Free_Free_0%","hemolytic"
"1547_Hemolytik_Free_Free_0%","hemolytic"
"1548_Hemolytik_Free_Free_0%","hemolytic"
"1866_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1868_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"1872_Hemolytik_Free_Free_0%","non-hemolytic"
"1873_Hemolytik_Free_Free_0%","non-hemolytic"
"1874_Hemolytik_Free_Free_0%","hemolytic"
"1875_Hemolytik_Free_Free_0%","non-hemolytic"
"1876_Hemolytik_Free_Free_0%","non-hemolytic"
"1877_Hemolytik_Free_Free_0%","non-hemolytic"
"1878_Hemolytik_Free_Free_No","non-hemolytic"
"1879_Hemolytik_Free_Free_No","non-hemolytic"
"1883_Hemolytik_Amidation_Free_No","hemolytic"
"1884_Hemolytik_Amidation_Free_No","hemolytic"
"1885_Hemolytik_Free_Free_No","non-hemolytic"
"1886_Hemolytik_Free_Free_No","non-hemolytic"
"1887_Hemolytik_Free_Free_No","hemolytic"
"1888_Hemolytik_Free_Free_No","non-hemolytic"
"1889_Hemolytik_Free_Free_No","non-hemolytic"
"1890_Hemolytik_Amidation_Acetylation_Non-hemolytic","non-hemolytic"
"1891_Hemolytik_Amidation_Acetylation_Non-hemolytic","non-hemolytic"
"1892_Hemolytik_Free_Free_No","hemolytic"
"1893_Hemolytik_Free_Free_No","non-hemolytic"
"1898_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1899_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1900_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1901_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1902_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1903_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"1904_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"1905_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"1909_Hemolytik_Free_Free_0%","non-hemolytic"
"1910_Hemolytik_Free_Free_Non-hemolytic","hemolytic"
"1912_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"1913_Hemolytik_Free_Free_Non-hemolytic","hemolytic"
"1914_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"1915_Hemolytik_Amidation_Free_No","hemolytic"
"1916_Hemolytik_Amidation_Free_No","hemolytic"
"1925_Hemolytik_Free_Free_0%","non-hemolytic"
"1926_Hemolytik_Free_Free_0%","non-hemolytic"
"1927_Hemolytik_Free_Free_0%","non-hemolytic"
"1928_Hemolytik_Free_Free_0%","non-hemolytic"
