Protein,Prediction
1541_Hemolytik_Free_Free_Mild,1
1815_Hemolytik_Amidation_Free_1,1
1816_Hemolytik_Amidation_Free_1,0
1817_Hemolytik_Amidation_Free_1,0
1818_Hemolytik_Amidation_Free_1,1
1819_Hemolytik_Amidation_Free_1,0
2369_Hemolytik_Free_Free_1,1
2370_Hemolytik_Free_Free_1,1
2371_Hemolytik_Free_Free_1,1
2372_Hemolytik_Free_Free_1,1
2656_Hemolytik_Free_Free_0.1,0
3496_Hemolytik_Amidation_Free_1,0
3661_Hemolytik_Free_Free_Strongly,1
1038_Hemolytik_Amidation_Free_100%,1
1042_Hemolytik_Amidation_Free_100%,1
1043_Hemolytik_Amidation_Free_100%,1
1044_Hemolytik_Amidation_Free_100%,1
1045_Hemolytik_Amidation_Free_100%,1
1076_Hemolytik_Amidation_Free_100%,1
1119_Hemolytik_Amidation_Free_~50%,1
1163_Hemolytik_Free_Free_>50%,1
1164_Hemolytik_Free_Free_>50%,1
1165_Hemolytik_Free_Free_>50%,1
1166_Hemolytik_Free_Free_>50%,1
1169_Hemolytik_Free_Free_>50%,1
1171_Hemolytik_Free_Free_>50%,1
1172_Hemolytik_Free_Free_>50%,1
1175_Hemolytik_Free_Free_>50%,0
1198_Hemolytik_Free_Free_>50%,1
1199_Hemolytik_Free_Free_>50%,1
1200_Hemolytik_Free_Free_>50%,1
1201_Hemolytik_Free_Free_>50%,1
1203_Hemolytik_Free_Free_>50%,1
1206_Hemolytik_Free_Free_>50%,1
1207_Hemolytik_Free_Free_>50%,1
1208_Hemolytik_Free_Free_>50%,1
1209_Hemolytik_Free_Free_>50%,1
1217_Hemolytik_Free_Free_>50%,1
1249_Hemolytik_Amidation_Free_100%,1
1250_Hemolytik_Amidation_Free_96%,1
1251_Hemolytik_Amidation_Free_92%hemolysis,1
1260_Hemolytik_Amidation_Acetylation_67%,1
1265_Hemolytik_Free_Free_100%,1
1266_Hemolytik_Free_Free_100%,1
1267_Hemolytik_Free_Free_100%,1
1272_Hemolytik_Free_Free_~90%,1
1365_Hemolytik_Free_Free_50%,1
1366_Hemolytik_Amidation_Free_60%,1
1418_Hemolytik_Amidation_Free_57.58%,1
1424_Hemolytik_Amidation_Free_64.43%,1
1450_Hemolytik_Amidation_Free_100%,1
1455_Hemolytik_Amidation_Acetylation_100%,1
1531_Hemolytik_Free_Free_100%,1
1532_Hemolytik_Free_Free_100%,0
1533_Hemolytik_Free_Free_100%,0
1534_Hemolytik_Free_Free_90%,0
1535_Hemolytik_Free_Free_80%,1
1536_Hemolytik_Free_Free_95%,1
1537_Hemolytik_Free_Free_100%,0
1562_Hemolytik_Free_Free_91.73%,1
1596_Hemolytik_Amidation_Free_100%,1
1597_Hemolytik_Amidation_Free_100%,0
1599_Hemolytik_Amidation_Free_~90%,1
1606_Hemolytik_Free_Free_189.2%,1
1626_Hemolytik_Free_Formylation_~90%,1
1627_Hemolytik_Free_Free_~95%,1
1628_Hemolytik_Free_Free_>75%,1
1629_Hemolytik_Free_Free_100%,1
1631_Hemolytik_Free_Free_<50%,1
1658_Hemolytik_Amidation_Free_100%,1
1669_Hemolytik_Free_Free_50%,0
1671_Hemolytik_Free_Free_50%,1
1672_Hemolytik_Free_Free_50%,1
1673_Hemolytik_Free_Free_50%,1
1674_Hemolytik_Free_Free_50%,1
1685_Hemolytik_Free_Free_68±7.5%,0
1686_Hemolytik_Free_Free_81,0
1720_Hemolytik_Free_Free_96%hemolysis,1
1731_Hemolytik_Amidation_Free_97%,1
1733_Hemolytik_Amidation_Free_~100%,1
1813_Hemolytik_Free_Free_50%,1
1844_Hemolytik_Amidation_Benzoylation_71±2.3%,1
1845_Hemolytik_Amidation_Free_84±6.5%,1
1846_Hemolytik_Amidation_Free_63±5.9%,1
1848_Hemolytik_Amidation_Tosylation_85±7.4%,1
1849_Hemolytik_Amidation_Free_65±1.5%,1
1851_Hemolytik_Amidation_Tosylation_79±6.5%,1
1852_Hemolytik_Amidation_Benzoylation_83±13.5%,1
1853_Hemolytik_Amidation_Free_91±6.2%,1
1854_Hemolytik_Amidation_Tosylation_81±3.7%,1
1857_Hemolytik_Free_Free_50-60%,1
1858_Hemolytik_Amidation_Free_100%,1
1967_Hemolytik_Amidation_Free_50%,1
1969_Hemolytik_Amidation_Free_~50%,1
1970_Hemolytik_Amidation_Free_55-60%,1
1973_Hemolytik_Amidation_Free_~85%,0
1985_Hemolytik_Free_Free_65-70%,1
1986_Hemolytik_Free_Free_80-85%,1
1987_Hemolytik_Free_Free_50-60%,1
1988_Hemolytik_Free_Free_90-95%,1
2031_Hemolytik_Amidation_Free_100%,1
2069_Hemolytik_Free_Free_~70%,0
2087_Hemolytik_Free_Free_75%hemolysis,1
2089_Hemolytik_Free_Free_53%,1
2095_Hemolytik_Free_Free_100%,1
2096_Hemolytik_Free_Free_95-100%,1
2097_Hemolytik_Amidation_Free_95-100%,1
2147_Hemolytik_Free_Free_100%,1
2149_Hemolytik_Free_Free_100%,1
2152_Hemolytik_Amidation_Free_100%,1
2176_Hemolytik_Free_Free_70.2%,1
2177_Hemolytik_Free_Free_55.0%,1
2207_Hemolytik_Free_Free_>80%,1
2208_Hemolytik_Free_Free_>60%,1
2209_Hemolytik_Free_Free_~,1
2212_Hemolytik_Amidation_Free_~,1
2278_Hemolytik_Amidation_Free_100%,1
2279_Hemolytik_Amidation_Free_100%,1
2280_Hemolytik_Amidation_Free_100%,1
2285_Hemolytik_Free_Free_~60%,1
2435_Hemolytik_Amidation_Free_66.5%,1
2436_Hemolytik_Amidation_Free_70.3%,1
2441_Hemolytik_Free_Free_94.6%,1
2450_Hemolytik_Free_Free_89%,1
2508_Hemolytik_Amidation_Free_100%,1
2586_Hemolytik_Free_Free_50%,0
2608_Hemolytik_Free_Free_60%,1
2610_Hemolytik_Free_Free_100%,1
2615_Hemolytik_Free_Free_83%,1
2666_Hemolytik_Free_Free_80%,1
2674_Hemolytik_Amidation_Free_~54%,0
2700_Hemolytik_Free_Free_>80%,1
2701_Hemolytik_Free_Free_<60%,1
2702_Hemolytik_Free_Free_<80%,1
2704_Hemolytik_Free_Free_<70%,1
2705_Hemolytik_Free_Free_~80%,1
2706_Hemolytik_Free_Free_<60%,1
2707_Hemolytik_Free_Free_~80%,1
2708_Hemolytik_Free_Free_58%,1
2711_Hemolytik_Free_Free_52%,1
2770_Hemolytik_Amidation_Free_100%,1
2833_Hemolytik_Amidation_Free_78%,1
2834_Hemolytik_Amidation_Free_80%,1
2842_Hemolytik_Amidation_Free_52%,1
2847_Hemolytik_Amidation_Free_54,1
2881_Hemolytik_Amidation_Free_62.5%,1
2885_Hemolytik_Amidation_Free_100%,1
2891_Hemolytik_Amidation_Free_97%,1
2899_Hemolytik_Amidation_Free_70%,1
2901_Hemolytik_Amidation_Free_100%,1
2916_Hemolytik_Amidation_Free_50%,1
2917_Hemolytik_Amidation_Free_50%,1
2918_Hemolytik_Amidation_Free_50%,1
2919_Hemolytik_Amidation_Free_50%,0
2920_Hemolytik_Amidation_Free_50%,1
2921_Hemolytik_Amidation_Free_50%,1
2922_Hemolytik_Amidation_Free_50%,1
2923_Hemolytik_Amidation_Free_50%,1
2924_Hemolytik_Amidation_Free_50%,1
2925_Hemolytik_Amidation_Free_50%,1
2926_Hemolytik_Amidation_Free_50%,1
2927_Hemolytik_Amidation_Free_50%,1
2928_Hemolytik_Amidation_Free_50%,1
2929_Hemolytik_Amidation_Free_50%,1
2930_Hemolytik_Amidation_Free_50%,1
2931_Hemolytik_Amidation_Free_50%,1
2932_Hemolytik_Free_Free_50%,1
2933_Hemolytik_Free_Free_50%,1
2934_Hemolytik_Amidation_Free_50%,1
2935_Hemolytik_Free_Free_50%,1
2936_Hemolytik_Amidation_Free_50%,1
2937_Hemolytik_Free_Free_50%,1
2938_Hemolytik_Amidation_Free_50%,1
2939_Hemolytik_Amidation_Free_50%,1
2940_Hemolytik_Amidation_Free_50%,1
2941_Hemolytik_Amidation_Free_50%,1
2943_Hemolytik_Amidation_Biotin_50%,1
2944_Hemolytik_Amidation_Free_50%,0
3009_Hemolytik_Free_Free_51.3±1.6%,1
3011_Hemolytik_Free_Free_54.5±0.9%,1
3013_Hemolytik_Free_Free_64.4±2.2%,1
3099_Hemolytik_Amidation_Free_60%,1
3103_Hemolytik_Amidation_Free_55-60%,1
3108_Hemolytik_Amidation_Free_65%,1
3109_Hemolytik_Amidation_Free_70%,1
3112_Hemolytik_Amidation_Free_50-60%,1
3113_Hemolytik_Amidation_Free_60-65%,1
3114_Hemolytik_Amidation_Free_60-70%,1
3115_Hemolytik_Amidation_Free_70-75%,1
3166_Hemolytik_Amidation_Free_50%,1
3188_Hemolytik_Amidation_Free_100%,1
3189_Hemolytik_Amidation_Free_94%,1
3190_Hemolytik_Amidation_Free_92%,1
3194_Hemolytik_Amidation_Free_100%,1
3195_Hemolytik_Amidation_Free_92%,1
3270_Hemolytik_Amidation_Free_70%,1
3271_Hemolytik_Amidation_Free_81%,1
3272_Hemolytik_Amidation_Free_100%,1
3273_Hemolytik_Amidation_Free_100%,1
3294_Hemolytik_Amidation_Free_100%,1
3295_Hemolytik_Amidation_Acetylation_100%,1
3296_Hemolytik_Lac=p-amidophenyl-β-D-lactopyranoside_Free_120%,1
3313_Hemolytik_Free_Formylation_82%,1
3314_Hemolytik_Free_Formylation_100%,1
3315_Hemolytik_Free_Formylation_73%,1
3316_Hemolytik_Free_Formylation_85%,1
3317_Hemolytik_Free_Formylation_92%,1
